,rssi.242,rssi.94,rssi.h,rssi.245,outcome
199,-74,-85,-79,-66,3
200,-75,-85,-76,-67,3
201,-75,-87,-83,-65,3
202,-75,-85,-82,-65,3
203,-75,-84,-73,-65,3
204,-77,-84,-82,-65,3
205,-81,-85,-82,-65,3
206,-77,-85,-77,-64,3
207,-75,-85,-77,-65,3
208,-75,-85,-77,-65,3
209,-76,-85,-79,-65,3
210,-75,-84,-79,-64,3
211,-75,-86,-80,-66,3
212,-79,-87,-78,-65,3
213,-74,-89,-84,-65,3
214,-76,-84,-78,-65,3
215,-76,-85,-83,-65,3
216,-75,-88,-81,-65,3
217,-75,-85,-83,-65,3
218,-74,-85,-86,-65,3
219,-75,-84,-86,-65,3
220,-77,-85,-83,-65,3
221,-77,-86,-81,-65,3
222,-77,-93,-69,-70,4
223,-76,-102,-69,-69,4
224,-76,-101,-68,-69,4
225,-75,-91,-68,-70,4
226,-77,-93,-68,-69,4
227,-78,-92,-69,-70,4
228,-77,-91,-68,-69,4
229,-77,-95,-68,-79,4
230,-77,-93,-68,-69,4
231,-76,-95,-68,-70,4
232,-77,-94,-69,-70,4
233,-78,-96,-68,-69,4
234,-82,-97,-68,-70,4
235,-76,-99,-68,-72,4
236,-76,-94,-78,-73,4
237,-85,-98,-68,-74,4
238,-81,-99,-65,-74,4
239,-82,-90,-66,-70,4
240,-83,-91,-66,-69,4
241,-83,-92,-67,-70,4
242,-81,-91,-66,-69,4
243,-83,-91,-66,-71,4
244,-82,-92,-67,-69,4
245,-82,-92,-67,-69,4
246,-80,-91,-66,-69,4
247,-83,-89,-67,-70,4
248,-83,-90,-67,-69,4
249,-82,-91,-66,-69,4
250,-82,-90,-66,-69,4
251,-81,-91,-67,-69,4
252,-82,-91,-66,-70,4
253,-82,-91,-67,-69,4
254,-85,-90,-66,-69,4
255,-80,-92,-66,-69,4
256,-84,-91,-66,-69,4
257,-83,-90,-67,-69,4
258,-83,-91,-67,-69,4
259,-83,-90,-66,-68,4
260,-83,-89,-67,-70,4
261,-84,-90,-67,-69,4
262,-79,-90,-70,-72,4
263,-78,-92,-65,-69,4
264,-79,-89,-66,-70,4
265,-79,-93,-66,-69,4
266,-79,-90,-66,-69,4
267,-79,-92,-66,-69,4
268,-82,-90,-66,-69,4
269,-80,-91,-65,-69,4
270,-80,-90,-68,-69,4
271,-79,-88,-68,-69,4
272,-78,-91,-67,-70,4
273,-79,-91,-67,-70,4
274,-80,-92,-67,-70,4
275,-80,-91,-65,-69,4
276,-78,-89,-66,-69,4
277,-81,-89,-66,-69,4
278,-82,-90,-68,-70,4
279,-80,-92,-67,-69,4
280,-81,-89,-66,-69,4
281,-80,-91,-67,-69,4
282,-80,-90,-67,-69,4
283,-79,-90,-67,-68,4
284,-80,-90,-67,-69,4
285,-80,-88,-67,-71,4
286,-78,-89,-66,-69,4
287,-80,-90,-66,-70,4
288,-80,-91,-67,-69,4
289,-80,-90,-66,-73,4
290,-80,-91,-66,-69,4
291,-81,-92,-66,-69,4
292,-79,-88,-66,-69,4
293,-79,-93,-65,-70,4
294,-79,-89,-66,-70,4
295,-81,-89,-67,-69,4
296,-75,-88,-75,-82,5
297,-76,-84,-72,-81,5
298,-73,-87,-68,-80,5
299,-73,-85,-70,-79,5
300,-72,-87,-70,-80,5
301,-72,-86,-69,-79,5
302,-74,-86,-70,-79,5
303,-74,-86,-69,-78,5
304,-74,-85,-69,-81,5
305,-76,-86,-70,-80,5
306,-75,-86,-70,-78,5
307,-75,-86,-69,-83,5
308,-76,-85,-70,-80,5
309,-74,-85,-70,-80,5
310,-76,-84,-72,-78,5
311,-70,-85,-70,-77,5
312,-71,-84,-70,-79,5
313,-72,-85,-70,-82,5
314,-71,-85,-70,-83,5
315,-72,-85,-70,-83,5
316,-71,-85,-69,-82,5
317,-72,-85,-70,-82,5
318,-73,-86,-72,-82,5
319,-72,-87,-72,-83,5
320,-72,-86,-72,-84,5
321,-72,-88,-73,-82,5
322,-72,-86,-72,-80,5
323,-72,-85,-73,-82,5
